,WC 2022,EURO 2024,% Change
Possession %,30.50187032418953,58.15108010197236,90.64758811152511
Passes/match,978.5,619.1428571428571,-36.72530841667275
Forward Pass %,55.56974961676035,58.767881864328565,5.755167639991726
Prog Passes/match,43.5,45.142857142857146,3.776683087027922
Prog Carries/match,25.0,28.0,12.0
PPDA,93.87368421052632,16.590425531914892,-82.32686223893346
High Recoveries/match,22.0,24.142857142857142,9.740259740259738
F3 Entries/match,107.0,81.28571428571429,-24.032042723631502
F3 Wide %,58.177570093457945,60.632688927943754,4.220043619116169
F3 Central %,11.91588785046729,15.289982425307558,28.31593094179677
Shots/match,12.75,17.571428571428573,37.815126050420176
xG/match,1.7761568143500002,1.5092550420285715,-15.026926123023864
xG/shot,0.13930641681176473,0.08589256336747968,-38.342708589267325
Goals/match,2.25,2.0,-11.11111111111111
